Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Elements Eatery,"Jayamahal Road, East Bangalore", East Bangalore,Bangalore,"Continental,  Italian",4.2,67,1100
Chicano,"Frazer Town, North Bangalore", North Bangalore,Bangalore,"Fast Food,  Pizza,  Italian",5,1,500
Kanti Sweets,"Vasanth Nagar, Central Bangalore", Central Bangalore,Bangalore,"Mithai,  Desserts",2,1,500
Nandhini Deluxe,"Sankey Road, West Bangalore", West Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Andhra",3.8,9,1300
California Burrito,"Mantri Square Mall,Malleshwaram, West Bangalore", West Bangalore,Bangalore,"Mexican,  Fast Food",4.3,80,500
Beijing Bites,"Frazer Town, North Bangalore", North Bangalore,Bangalore,"Chinese,  Thai,  Seafood",4.2,57,700
Karama,"Frazer Town, North Bangalore", North Bangalore,Bangalore,"Arabian,  North Indian,  Seafood,  Pakistani",4.3,94,800
Sharief Bhai,"Frazer Town, North Bangalore", North Bangalore,Bangalore,"North Indian,  Mughlai",4.2,35,600
Nandhini Deluxe,"Frazer Town, North Bangalore", North Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Andhra",4,24,900
Go Native,"Sadashiva Nagar, North Bangalore", North Bangalore,Bangalore,Health Food,4.3,11,700
JuiceMaker,"Vasanth Nagar, Central Bangalore", Central Bangalore,Bangalore,Fast Food,1,1,400
Kava,"Fairfield by Marriott,Rajajinagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  Continental,  South Indian",3.9,656,1200
Sampurna,"Ulsoor, Central Bangalore", Central Bangalore,Bangalore,"South Indian,  Andhra",4,2,800
Paakashala,"Malleshwaram, West Bangalore", West Bangalore,Bangalore,"North Indian,  Chinese",4.3,32,600
Kobe Sizzlers,"Koramangala, South Bangalore", South Bangalore,Bangalore,"American,  Sizzlers,  Continental",4.2,379,1500
Kanti Sweets,"Malleshwaram, West Bangalore", West Bangalore,Bangalore,"Mithai,  Desserts",4.8,4,500
The Reservoire,"Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Finger Food,  Continental,  Asian,  Pizza",4.3,974,1400
Vasudev Adiga's,"Gajanana Tower,Majestic, West Bangalore", West Bangalore,Bangalore,"South Indian,  North Indian,  Chinese",1,1,500
Mamagoto,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Asian,  Chinese,  Thai,  Japanese,  Oriental ",4.5,484,1500
Fanoos,"Frazer Town, North Bangalore", North Bangalore,Bangalore,North Indian,5,1,400
Sigdee,"Frazer Town, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese,  Fast Food",4,1,500
Chianti,"Indiranagar, East Bangalore", East Bangalore,Bangalore,Italian,4.5,449,2200
Hungry Hippie,"Jatti Building,Koramangala, South Bangalore", South Bangalore,Bangalore,"Fast Food,  Drinks",4.4,402,800
ABs - Absolute Barbecues,"Vaishnavi Sapphire Centre,Yeshwantpur, North Bangalore", North Bangalore,Bangalore,"North Indian,  Barbecue,  Seafood",4.4,494,1200
Frozen Bottle,"ETA Mall,Magadi Road, West Bangalore", West Bangalore,Bangalore,"Shakes,  Desserts,  Ice Cream",4,1,400
Sandwichwallas,"Basavanagudi, South Bangalore", South Bangalore,Bangalore,"Fast Food,  Pizza,  Shakes",5,1,300
ABs - Absolute Barbecues,"Kalyan Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Barbecue,  Seafood",4.5,636,1200
Indotalian II Cafe,"Sadashiva Nagar, North Bangalore", North Bangalore,Bangalore,Fast Food,4.7,4,600
Thanco's Natural Ice Cream,"VC Plaza,Basavanagudi, South Bangalore", South Bangalore,Bangalore,"Ice Cream,  Desserts",4.1,19,400
Pasta Street,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Italian,  European,  Desserts,  Pizza",4.5,575,1500
Lassi Shop,"Frazer Town, North Bangalore", North Bangalore,Bangalore,"Drinks,  Ice Cream",3,3,300
Steaming Mugs,"Basavanagudi, South Bangalore", South Bangalore,Bangalore,"Chinese,  Continental,  Coffee,  Finger Food,  Fast Food",4.2,55,800
Stories Bar and Kitchen,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Continental,  North Indian,  Italian,  Chinese",4.2,854,800
Shruti Delicacy,"Koramangala, South Bangalore", South Bangalore,Bangalore,"South Indian,  North Indian,  Chinese",5,1,400
Aubree,"Sadashiva Nagar, North Bangalore", North Bangalore,Bangalore,"Bakery and Confectionary,  Desserts",3.6,26,800
Andhra Ruchulu,"The President Hotel,Jayanagar, South Bangalore", South Bangalore,Bangalore,"Andhra,  North Indian,  Chinese",4.2,92,1500
Empire Restaurant,"Frazer Town, North Bangalore", North Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",3.8,64,700
Khan Saheb Grills and Rolls,"Mantri Square Mall,Malleshwaram, West Bangalore", West Bangalore,Bangalore,"North Indian,  Fast Food",2.9,4,600
The Big Bellyz,"Malleshwaram, West Bangalore", West Bangalore,Bangalore,"Italian,  Mexican",4.5,12,300
XOOX Brewmill,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Finger Food,  Modern Indian,  Italian,  Continental",4.3,396,1800
Gokul Veg,"GR Plaza,Basavanagudi, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese",4.2,38,500
Gullu's Chat,"Seshadripuram, West Bangalore", West Bangalore,Bangalore,Street Food,2,1,300
Board 4 Bored,"Basavanagudi, South Bangalore", South Bangalore,Bangalore,"Continental,  Fast Food",4,20,500
Cafe Mondo,"Basavanagudi, South Bangalore", South Bangalore,Bangalore,"Italian,  Desserts,  Coffee",4.1,33,500
Kanti Sweets,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",5,1,500
BumbleBee Brauhaus,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese,  Continental",3.9,149,1600
Golden Oak,"La Marvella Hotel,Jayanagar, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,99,2000
Haji Ali Juice Centre,"Nissa Enclave,Frazer Town, North Bangalore", North Bangalore,Bangalore,"Desserts,  Ice Cream,  Shakes",3.5,2,400
The Royal Corner,"Pai Viceroy Hotel,Jayanagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Barbecue",4.3,27,900
Fogg Sheesha Lounge,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Continental,  Chinese,  Drinks",4.1,82,1400
Kanti Sweets,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Mithai,  Desserts",4,4,500
Hammered,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese",4.2,729,1200
Stories Bar & Kitchen,"Rajarajeshwari Nagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  Italian,  Chinese",4.1,164,1600
House of Commons,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Finger Food,  North Indian,  Continental",4.4,326,1400
Smoor,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Italian,  Asian,  Desserts,  Drinks",4.6,124,1600
Fruit Face,"Malleshwaram, West Bangalore", West Bangalore,Bangalore,"Fast Food,  Drinks,  Shakes",4,2,400
JustBe Cafe,"Sadashiva Nagar, North Bangalore", North Bangalore,Bangalore,"Continental,  Health Food",4.3,146,800
The Fatty Bao - Asian Gastro Bar,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Asian,  Malaysian,  Thai,  Japanese",4.6,472,2000
Wok Face,"Malleshwaram, West Bangalore", West Bangalore,Bangalore,"Chinese,  Fast Food",3.5,2,500
Kobe Sizzlers,"Krishvi Aspire,Indiranagar, East Bangalore", East Bangalore,Bangalore,"American,  Sizzlers,  Continental",4.2,453,1500
Punjab Mail,"Malleshwaram Arcade,Malleshwaram, West Bangalore", West Bangalore,Bangalore,"North Indian,  Chinese",3.7,7,500
Toscano,"The Forum Mall,Koramangala, South Bangalore", South Bangalore,Bangalore,"Italian,  Mediterranean,  Desserts,  Pizza",4.5,300,2500
California Burrito,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Mexican,  Fast Food",4.5,119,500
5th Avenue Cafe,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Continental,  Italian,  Drinks",4.3,84,700
Buffalo Wild Wings,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"American,  Fast Food",4.4,133,2000
Paakashala,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese",4.6,6,600
Aubree,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Bakery and Confectionary,  Desserts",4.7,20,800
Maharaja Biryani House,"Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Andhra,  Seafood",4,21,600
Smoke House Deli,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"European,  American,  Italian,  Continental,  Drinks",4.5,451,2500
Sharief Bhai,"Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Mughlai",4.3,63,600
Smoke - The Sizzler House,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Continental,  Fast Food,  Sizzlers",4,110,1100
Smoor,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Italian,  Asian,  Desserts,  Drinks",4.5,28,1600
1522 - The Pub,"New BEL Road, North Bangalore", North Bangalore,Bangalore,"North Indian,  Multi-Cuisine,  Chinese,  Continental,  Coastal",4.4,1088,1400
Empire Restaurant,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",4,115,700
Subz,"Cosmopolitan Club,Jayanagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Indian Cuisine",4.4,366,1000
IceBreakers,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Desserts,  Ice Cream,  Shakes,  Waffle",5,1,400
Gam's Delicacy,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Assamese",4.6,21,800
Infinitea,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Italian,  European,  Tea,  Desserts",4.5,82,1200
Dr Sheesha,"Deepa Plaza,JP Nagar, South Bangalore", South Bangalore,Bangalore,"Italian,  Continental,  Chinese",4.2,548,800
Social,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese",4.1,94,1500
Chetty's Coffee,"Indiranagar, East Bangalore", East Bangalore,Bangalore,South Indian,5,1,200
Pin Me Down,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Italian,  Mexican,  Continental,  Street Food",4.3,29,700
Tipsy Bull - The Bar Exchange,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Chinese,  Continental,  North Indian",4,83,1000
Taiki,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Japanese,  Asian,  Thai,  Korean",4.5,80,1400
The Potbelly Divine,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Bihari,  Seafood",4.9,7,1800
Clean Slate Cafe,"Malleshwaram, West Bangalore", West Bangalore,Bangalore,"Italian,  Fast Food",4.3,25,600
Tarbouche,"Koramangala, South Bangalore", South Bangalore,Bangalore,Turkish,4,1,300
Smoor,"The Forum Mall,Koramangala, South Bangalore", South Bangalore,Bangalore,"Italian,  Asian,  Desserts,  Drinks",4.4,9,1600
Frozen Bottle,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Shakes,  Desserts,  Ice Cream",5,4,400
Badmaash,"R B Arcade,Koramangala, South Bangalore", South Bangalore,Bangalore,"Finger Food,  North Indian,  Mughlai",4.1,193,2000
Chinita Real Mexican Food,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Mexican,  Tex Mex",4.5,114,1400
Ice Cream Lab,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Desserts,  Ice Cream",5,1,300
Khan Saheb Grills and Rolls,"Shiva Sai Complex,Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Fast Food",3.9,9,600
California Burrito,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Mexican,  Fast Food",4.6,108,500
Axomi - Taste of Assam,"Koramangala, South Bangalore", South Bangalore,Bangalore,Assamese,4.2,10,500
The Waffles Hut,"KHB Commercial Complex,Koramangala, South Bangalore", South Bangalore,Bangalore,"Waffle,  Desserts",4.8,6,400
Fanoos Xprss,"Jayanagar, South Bangalore", South Bangalore,Bangalore,North Indian,5,1,600
Kanti Sweets,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",4,6,500
Salt Mango Tree,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Kerala,  Seafood",4.5,41,1000
Brews N Bites,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Fast Food,  Coffee,  Drinks",5,3,800
Hungry B,"Domlur, East Bangalore", East Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Continental",4.5,13,400
Malabar Cafe,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"South Indian,  Kerala",5,1,400
White Fog,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Italian,  Fast Food,  Drinks",4.5,34,800
Bamey's Restro Cafe,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Asian,  Nepalese",4.3,27,800
Savoury Seashell,"Bannerghatta Road, South Bangalore", South Bangalore,Bangalore,"Arabian,  North Indian,  Chinese,  Kerala,  Fast Food",4.1,112,1000
Mainland China,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Seafood,  Asian",4.4,335,1600
Kurtoskalacs,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Fast Food,  Desserts,  Drinks",4.7,3,600
Sanchez Taqueria And Cantina,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Mexican,  Tex Mex",4.5,44,1600
Maravanthe,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"South Indian,  Mangalorean,  Coastal,  Seafood",4.5,189,1000
Chinita Real Mexican Food,"Koramangala, South Bangalore", South Bangalore,Bangalore,Mexican,4.6,60,1200
Sweet Chariot,"Koramangala, South Bangalore", South Bangalore,Bangalore,Bakery and Confectionary,4,1,400
Bangaliana,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Bengali,  Seafood",3.9,17,600
Sharief Bhai,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Mughlai",4.2,11,600
Onesta,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Italian,  Pizza,  Desserts,  Fast Food",4.4,125,700
Empire Restaurant,"RT Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",4.2,86,700
Tipsy Bull - The Bar Exchange,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Chinese,  Continental,  North Indian",4.4,459,1200
Cream N Cha,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Desserts,  Drinks,  Fast Food",3.8,2,400
Kargeens,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Continental,  Italian,  Chinese",4.1,238,900
Tibetan Kitchen,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Tibetan,  Chinese,  Seafood",4.6,13,700
Leon Grill,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Mexican,  Burger,  Fast Food",4.3,24,600
Gokul Kuteera,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese",3.8,7,700
Mani's Dum Biryani,"K.K Centre,Koramangala, South Bangalore", South Bangalore,Bangalore,Biryani,4.5,10,700
The Yogisthan Cafe,"Indiranagar, East Bangalore", East Bangalore,Bangalore,Health Food,4.7,3,700
Candy Cloud Factory,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Desserts,  Fast Food,  Waffle",4.4,26,400
Saara's Cafe,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Arabian,  Biryani",3.9,39,1000
Stories Brewery and Kitchen,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Continental,  North Indian",4.3,994,2000
CUR8,"Four Seasons,Ganga Nagar, North Bangalore", North Bangalore,Bangalore,"European,  North Indian,  Italian",4.7,118,3500
Raaga,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese,  Continental,  Mughlai",3.9,27,1000
Bologna,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Italian,  Desserts,  Bakery and Confectionary",4.5,106,1500
1522 - The Pub,"Malleshwaram, West Bangalore", West Bangalore,Bangalore,"North Indian,  Multi-Cuisine,  Chinese,  Continental,  Coastal",4.4,501,1400
Northwest Kebab and Curyhouse,"ARD Complex,Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Mughlai",4.2,22,1200
Dhaba Estd 1986 Delhi,"Indiranagar, East Bangalore", East Bangalore,Bangalore,North Indian,4.2,409,1200
Saara's Grill and Spice,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Arabian,  North Indian",3.8,92,1100
Chianti,"Koramangala, South Bangalore", South Bangalore,Bangalore,Italian,4.5,426,2200
Empire Restaurant,"The Forum Mall,Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",3.6,4,700
Imperial Restaurant,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Chinese,  North Indian,  Mughlai",3.6,8,800
Mumbai Xpress,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Street Food,  Fast Food",4.3,5,300
Dice N Dine,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Continental,  Pizza,  Desserts,  Fast Food",4.3,213,1200
Taco Bell,"SJR Junction Building,Koramangala, South Bangalore", South Bangalore,Bangalore,"Mexican,  Tex Mex",4.5,98,500
Empire Restaurant,"Hotel Empire International,Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",3.5,75,700
Szechuan Dragon,"Arush Trapeze,HanumanthaNagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Thai",4.1,222,800
Nandhini Deluxe,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Andhra",4.1,47,900
Citrus,"The Leela Palace Hotel,Kodihalli, East Bangalore", East Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  South Indian,  European,  Asian",4.5,108,2500
Rahham's International,"Frazer Town, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese",2.1,5,600
Trois Pub,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Continental,  Finger Food,  North Indian,  Seafood,  Asian,  Coastal",4,19,1500
Taco Bell,"Orion Mall,Malleshwaram, West Bangalore", West Bangalore,Bangalore,"Mexican,  Tex Mex",4,9,500
Dhuaan,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Fast Food,  Chinese,  Continental",4,33,700
Glen's Bakehouse,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  Italian,  Continental,  Desserts,  Ice Cream,  Bakery and Confectionary",3.7,7,800
The T Cafe,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Street Food,  Fast Food,  Tea",4.3,7,400
Nandhini Deluxe,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Andhra",3.8,29,1300
China Bistro,"Ashwini Commercial Complex,Indiranagar, East Bangalore", East Bangalore,Bangalore,"Asian,  Chinese,  Thai,  Korean,  Sushi",4.4,212,2000
Flavours Of India,"Bhagini Icon Boutique Hotel,Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese,  Mughlai",3.8,102,1400
Mystique Palate,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Chinese,  Thai,  Fast Food,  Tibetan",4.5,3,400
Imli Cafe N Restaurant,"Indiranagar, East Bangalore", East Bangalore,Bangalore,North Indian,4.1,108,800
Akss - India Reimagined,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Modern Indian,  North Indian",4.7,3,1800
Beijing Bites,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Chinese,  Thai,  Seafood",4.5,100,700
Taco Bell,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Mexican,  Tex Mex",4.2,87,500
You Mee,"Orion Mall,Malleshwaram, West Bangalore", West Bangalore,Bangalore,"Chinese,  Thai,  Japanese",4.2,124,1800
Doff Pub and Lounge,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Finger Food,  Chinese,  Continental",4.4,252,1400
Roast 'N' Frost,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Fast Food,  Desserts",5,2,500
Anupam's Coast II Coast,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Seafood,  North Indian,  Chinese,  Coastal",4.3,65,1200
Brahma Brews,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  South Indian,  European,  Asian",4.5,569,2200
Royal Treat,"Koramangala, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese",3.8,10,600
Three Dots and A Dash,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Continental,  Italian,  European",4.1,672,1600
Tycoons - Fine Dine and Retro Bar,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Continental,  Asian",3.5,2,1700
Waffle Stories,"Orion East Mall,Banaswadi, North Bangalore", North Bangalore,Bangalore,"Desserts,  Ice Cream,  Waffle,  Fast Food,  Drinks",4.8,4,400
Chaatimes,"HanumanthaNagar, South Bangalore", South Bangalore,Bangalore,"Street Food,  Chaat",3,1,200
Dindigul Thalappakatti,"Salarpuria Palladium,Indiranagar, East Bangalore", East Bangalore,Bangalore,"South Indian,  Biryani,  North Indian,  Chinese",4.4,75,800
The Punjabi Rasoi,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese,  Mughlai",4.2,164,800
Dr. Bubbles,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Ice Cream,  Waffle,  Desserts",4,1,400
Geometry Gastropub,"Malleshwaram, West Bangalore", West Bangalore,Bangalore,"North Indian,  Seafood,  Finger Food,  Continental,  Andhra,  Fast Food",4.2,75,1500
Brownie Heaven,"Indiranagar, East Bangalore", East Bangalore,Bangalore,Desserts,4.5,2,400
Shaap,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Kerala,  Seafood",3.8,6,600
Go Native,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Health Food,  Modern Indian",4.4,11,700
Sriracha Robata & Contemporary Pan Asian Dining,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Asian,  Barbecue,  Chinese",4.5,6,1200
Leon Grill,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Arabian,  Fast Food",4,21,600
The Sidewalk Cafe,"The Paul Bangalore,Domlur, East Bangalore", East Bangalore,Bangalore,"Italian,  American,  Asian",4.5,92,1500
Anjappar Chettinad,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"South Indian,  Chettinad,  Chinese,  Seafood",4,50,700
California Burrito,"Orion East Mall,Banaswadi, North Bangalore", North Bangalore,Bangalore,"Mexican,  Fast Food",4.6,18,500
Gelateria Montecatini Terme,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Desserts,  Ice Cream,  Assamese",4.3,4,300
Vembanad,"The Paul Bangalore,Domlur, East Bangalore", East Bangalore,Bangalore,"Kerala,  Seafood",4.5,35,2000
Lassi Bistro,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Shakes,  Ice Cream,  Drinks",5,1,200
Nevermind - Bar & Social,"OYO Town House,Indiranagar, East Bangalore", East Bangalore,Bangalore,"Asian,  Continental,  Modern Indian",4.3,288,1500
Anjappar Chettinad,"Koramangala, South Bangalore", South Bangalore,Bangalore,"South Indian,  Chettinad,  Chinese,  Seafood",4,43,700
Toscano,"Orion Mall,Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Italian,  Mediterranean,  Desserts,  Pizza",4.5,346,1500
Waffle Stories,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Desserts,  Waffle",4,2,400
Punjab Grill,"Orion Mall,Rajajinagar, West Bangalore", West Bangalore,Bangalore,North Indian,4.2,188,2000
Pasta Street,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Italian,  European,  Desserts,  Pizza",4.4,260,1500
Kanti Sweets,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",5,1,500
The Lobby Lounge and Terrace,"Four Seasons,Ganga Nagar, North Bangalore", North Bangalore,Bangalore,"North Indian,  Finger Food,  Desserts",4.6,3,2400
Kund Indian Barbeque,"Ashok Terrace,Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Mughlai",3.8,27,1200
Shawarma Time,"Ulsoor, Central Bangalore", Central Bangalore,Bangalore,Arabian,1,1,300
1947,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  Chinese",3.9,37,800
Sly Granny - The Community House,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Modern Indian,  European,  American",4.4,161,2500
Via Milano,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Italian,  Continental,  Mediterranean,  Drinks",4.1,115,1600
Kudla - Coral Tree By GoldFinch,"Coral Tree Hotel,RT Nagar, North Bangalore", North Bangalore,Bangalore,"Mangalorean,  North Indian,  Chinese,  Seafood",3.8,62,1000
Khan Saheb Grills and Rolls,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Fast Food",4,14,600
Kanti Sweets,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Mithai,  Desserts",3.7,3,500
Nuage,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Italian,  Continental,  Desserts,  Bakery and Confectionary",3.8,3,1200
The Pizza Bakery - Brew & Eatery,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Italian,  Pizza",4.5,86,1600
Onesta,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Italian,  Pizza,  Desserts,  Fast Food",4.3,126,700
Srinathji's,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese,  Continental,  Desserts",4.3,11,500
Aaradhya Family Restaurant,"Vijay Nagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  Andhra",4.3,53,600
Kanti Sweets,"RT Nagar, North Bangalore", North Bangalore,Bangalore,"Mithai,  Desserts",5,1,500
Kanti Sweets,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",4,6,500
Mitti Cafe - Enerjuvate,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Continental,  Health Food,  Chaat",4.4,46,800
Jetlag,"Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Continental,  South Indian,  Barbecue",4,371,1500
The Higher Taste,"ISKCON Temple Complex and Cultural Complex,Rajajinagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  South Indian",4.3,214,800
Potful,"JP Nagar, South Bangalore", South Bangalore,Bangalore,"North Indian,  Biryani",4,1,800
Sandwichwallas,"Jayanagar, South Bangalore", South Bangalore,Bangalore,"Fast Food,  Pizza,  Shakes",5,2,300
Kanti Sweets,"Renuka Complex,New Thippasandra, East Bangalore", East Bangalore,Bangalore,"Mithai,  Desserts",5,2,500
Savoury Business Hotel,"Hosur Road, South Bangalore", South Bangalore,Bangalore,"Arabian,  North Indian,  Chinese,  Kerala,  Fast Food",4.6,5,1000
Barbeque Nation,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Barbecue,  North Indian,  Drinks",4.5,517,1800
Thanco's Natural Ice Cream,"Husain Plaza,RT Nagar, North Bangalore", North Bangalore,Bangalore,"Ice Cream,  Desserts",3.1,6,400
